Kauno lopšelis-darželis „Aušrinė“	Šilainių seniūnija	Balt%C5%B3%20pr.%2049%2C%20LT-48233%2C%20Kaunas	70	346
Kauno lopšelis-darželis „Vėrinėlis“	Šilainių seniūnija	%C5%BDiemgali%C5%B3%20g.%201%2C%20LT-48222%2C%20Kaunas	67	331
Kauno lopšelis-darželis „Atžalėlė“	Centro seniūnija	K.%20Donelai%C4%8Dio%20g.%209a%2C%20LT-44239%2C%20Kaunas	20	105
Kauno lopšelis-darželis „Bitutė“	Žaliakalnio seniūnija	Taikos%20pr.%2010%2C%20LT-50191%2C%20Kaunas	25	34
Kauno lopšelis-darželis „Boružėlė“ 	Aleksoto seniūnija	Bitinink%C5%B3%20g.%2021%2C%20LT-46382%2C%20Kaunas	22	185
Kauno lopšelis-darželis „Daigelis“	Vilijampolės seniūnija	%C5%BDagar%C4%97s%20g.%205%2C%20LT-47178%2C%20Kaunas	24	116
Kauno lopšelis-darželis „Dobilėlis“	Vilijampolės seniūnija	Paneri%C5%B3%20g.%2044%2C%20LT-48348%2C%20Kaunas	20	61
Kauno lopšelis-darželis „Drevinukas“	Petrašiūnų seniūnija	R.%20Kalantos%20g.%20116%2C%20LT-52347%2C%20Kaunas	40	35
Kauno lopšelis-darželis „Linelis“	Dainavos seniūnija	Savanori%C5%B3%20pr.%20236a%2C%20LT-50206%2C%20Kaunas	18	60
Kauno lopšelis-darželis „Girinukas“	Dainavos seniūnija	Partizan%C5%B3%20g.%2052%2C%20LT-49446%2C%20Kaunas	40	188
Kauno lopšelis-darželis „Girstutis“	Gričiupio seniūnija	Kovo%2011-osios%20g.%2025B%2C%20LT-51351%2C%20Kaunas	38	76
Kauno lopšelis-darželis „Klausutis“	Gričiupio seniūnija	Kovo%2011-osios%20g.%2014%2C%20LT-51380%2C%20Kaunas	20	12
Kauno lopšelis-darželis „Klumpelė“	Šilainių seniūnija	Pieni%C5%B3%20g.%2014%2C%20LT-47457%2C%20Kaunas	25	114
Kauno lopšelis-darželis „Kūlverstukas“	Dainavos seniūnija	Bir%C5%BEelio%2023-iosios%20g.%2021%2C%20LT-50222%2C%20Kaunas	40	90
Kauno lopšelis-darželis „Lakštutė“	Petrašiūnų seniūnija	Parko%20g.%2010%2C%20LT-52253%2C%20Kaunas	22	29
Kauno lopšelis-darželis „Liepaitė“	Žaliakalnio seniūnija	K.%20Genio%20g.%207%2C%20LT-50167%2C%20Kaunas	20	73
Kauno lopšelis-darželis „Mažylis“	Eigulių seniūnija	P.%20Plechavi%C4%8Diaus%20g.%2013%2C%20LT-49257%2C%20Kaunas	40	75
Kauno lopšelis-darželis „Naminukas“	Eigulių seniūnija	A%C5%A1igalio%20g.%2039%2C%20LT-49447%2C%20Kaunas	39	74
Kauno Panemunės lopšelis-darželis	Panemunės seniūnija	Vaidoto%20g.%2026a%2C%20LT-45318%2C%20Kaunas	60	64
Kauno lopšelis-darželis „Pasaka“	Dainavos seniūnija	V.%20Kr%C4%97v%C4%97s%20pr.%2063a%2C%20LT-50355%2C%20Kaunas	62	166
Kauno sanatorinis lopšelis-darželis „Pienė“	Panemunės seniūnija	Birut%C4%97s%20g.%209%2C%20LT-45319%2C%20Kaunas	20	94
Kauno lopšelis-darželis „Pušaitė“	Vilijampolės seniūnija	Varni%C5%B3%20g.%2049%2C%20LT-48412%2C%20Kaunas	0	86
Kauno sanatorinis lopšelis-darželis „Pušynėlis“	Panemunės seniūnija	Vaidoto%20g.%207a%2C%20LT-45388%2C%20Kaunas	40	181
Kauno lopšelis-darželis „Ąžuoliukas“	Žaliakalnio seniūnija	Margio%20g.%2017%2C%20LT-44226%2C%20Kaunas	23	27
Kauno lopšelis-darželis „Rasytė“	Šilainių seniūnija	Rasyt%C4%97s%20g.%205%2C%20LT-48128%2C%20Kaunas	50	203
Kauno lopšelis-darželis „Rokutis“	Panemunės seniūnija	Baltaragio%20g.%201%2C%20LT-46119%2C%20Kaunas	50	70
